RT @wksforme: trump is setting up to destroy the election results when the Senate &amp; house turn blue. he will claim the results are void bec…,[],JohnOSullivan36,"Brunswick West, Melbourne, Australia "
"Analysis -
EO13818 (12/21/17)
EO13825 (3/1/18)

Signed Executive Orders reveal Trump is planning mass arrests, mili… https://t.co/ydCDWkyPaa",[],Tiltfinger,
RT @MichaelAvenatti: Trump is a moron. He knows nothing about me or my client. He is trying to divert attention away from Julie as a smokes…,[],ChefAnnie,Richmond Virginia
"RT @jilevin: Stephen Colbert grills New Zealand's prime minister about laughing at Trump, Candice Bergen about dating him https://t.co/2XeA…",[],BranchCom2001,"New Jersey, USA"
Makes sense when its down in black and white. https://t.co/K3qYdkVToW,[],Keds1250878727,Texas
RT @ajplus: Bolivia's president slams President Trump at the UN Security Council: “In no way is the United States interested in upholding d…,[],NoirEnBlanca,In the Stars..✨
Nicki Halley clearns up mis conception that UN leaders llaughed at Trump out of Disrespect. https://t.co/cA2Z6p9gOu,[],TimSchwartz10,"Seattle, WA"
"RT @guypbenson: Ahem. 

Democratic operative &amp; former senior aide to Schumer says derailing Kavanaugh is step one in our ""very complicated""…",[],GP124u,
RT @maggieNYT: NEW - Matt Whitaker told people he was taking over as acting DAG because Kelly told Whitaker that Rosenstein was resigning a…,[],TimFarnsworth,"Washington, DC"
RT @BarbraStreisand: Accused of sexual assault by 19 women... how did Trump get to be the President of the United States? https://t.co/6Zi6…,[],ContentTBA,
"RT @KaivanShroff: “Gee, I wonder why it’s been 587 days since Trump’s last press conference.” — nobody ever",[],RHTownsend,"Pensacola, FL"
RT @WeWantClean: @Wendy_Miles1970 @InspiringU2 I see Ted Cruz voted against The  Violence Against Women Act. This does not surprise me. Don…,[],tombean74864003,United States
Sean Hannity @seanhannity  Trump said yesterday that he had been falsely accused by 4 women for money and that you… https://t.co/NlCHV5TWSJ,[],john_gibbs48,
"RT @inittowinit007: 💯 🔥🔥  WATCHING  🔥🔥  💯
 🔥THE DEMOCRATIC PARTY🔥
         🔥🔥🔥FALL🔥🔥🔥
           💯🚂 ISN’T IT 🚂💯
              💗BEAUTIFUL💓…",[],JosephNNorris1,
"Trump touts his own achievements, and the U.N. laughs https://t.co/N4uUd7888j",[],adalnewspk,
@Alyssa_Milano “Trump good press bad. Believe me. Fake news umkay.” pretty much sums it up. Sad thing is that it pa… https://t.co/C0q3Bp3toO,[],teyotyree,"Portland, OR"
@scottnowell7210 @TomiLahren Coward (Cadet-Bone-Spurs) Trump has associates that every Trump Supporter  would be pr… https://t.co/grNkFNF7Z0,[],Hell_HasCome,
RT @sahouraxo: Says the woman who not only supported but championed the vastly destructive policies of the Clinton administration that crea…,[],ChaiNotCoffee,Tinseltown
"RT @kathygriffin: When Trump and the GOP go low, I go down in the mud...fuck 'em. 

And btw, I love Mrs. Obama and think she should go high…",[],DawnBesecker,"East Stroudsburg,Pa."
"RT @EdKrassen: BREAKING: Trump literally just said the people of the UN “weren’t laughing at me, they were laughing with me.”

Lolololololo…",[],jtrathgeber,"Melbourne, FL"
"RT @nailainayat: Now who will teach the new Pakistani government that mere handshaking is not ""informal meeting""..
https://t.co/ZbtKFsiuUY",[],jiyebhutto51214,مامونکانجن فیصل آباد پنجاب
"RT @TeaPainUSA: Perhaps we should start with the term “husband?”

https://t.co/IGwvQ32I6Y",[],bkpage,"Salt Lake City, Utah"
"RT @JessieJaneDuff: President Trump will award an 80 year old Marine the Medal of Honor.

50 yrs ago Canley carried wounded Marines while u…",[],PaulHorvath13,New Hampshire USA
"RT @karolcummins: ‼️ICYMI‼️

Jared Kushner close friend Rick Gerson now under scrutiny from Mueller
Gerson met with a UAE royal in the Seyc…",[],CrazyMomma007,somewhere in the middle
"RT @ABCPolitics: President Donald Trump claims that ""China has been attempting to interfere in our upcoming 2018 election ... against my ad…",[],BillQuarks,central part
"RT @KurtRussellLA: They make fun of Trump’s sobriety. 

They make fun of Pence’s fidelity to his wife. 

They make fun of Kavanaugh’s virgi…",[],CarolCcsee,
@LindseyGrahamSC I have a difficult time believing you can golf with Trump more than once. Oh yeah he has some dirt on you right?,[],Trudi16,United States
"RT @StefanMolyneux: BREAKING: Kavanaugh Accuser Called For Military Coup Against Trump, Accused Him Of ‘Manslaughter’ https://t.co/WlETkDck…",[],HMaewest,"Florida, USA"
fantastic!,[],AxelWitzki,
"RT @EdKrassen: If these sexual assault allegations aren't true, why the hell isn't Brett Kavanaugh filing a defamation lawsuit against all…",[],dtjenkins1261,United States
RT @rolandsmartin: Yea @realDonaldTrump. George Washington had a bad past. HE WAS A SLAVE OWNER and had no issue in believing in the degrad…,[],Arthurw78607562,
"RT @kylegriffin1: Trump claimed in his press conference that he rejected a meeting with Justin Trudeau.

But a Trudeau spokeswoman says tha…",[],Sane_chic,
"RT @atrupar: Under questioning by @SenWhitehouse, Kavanaugh indicates he will not recuse himself if he's approved to SCOTUS and a criminal…",[],Qanon_is_fake,United States
"RT @donaldrusso994: Yes indeed, There's going to be massive payback to Democrats after their sick little Kavanaugh scam. Just wait https://…",[],St_Louis_Ray,St Louis MO USA
RT @realDonaldTrump: Thank you Mark! https://t.co/NVGs6WbQe2,[],nosson117,
"Thank you @KirstenPowers for your voice, your strength &amp; for shutting down Caputo’s dangerous, sexist rhetoric. 💪❤️",[],CIAspygirl,LA/NY
Trump open to one-state solution to Israeli-Palestinian conflict https://t.co/XeMgnmKDT5,[],adalnewspk,
